language,route,service_id,service_revision,page_id,page_revision,description_field,page_prose_field,classification,description_paragraphs,matching_paragraphs,page_prose_paragraphs,intro_source,media_equal,other_channels,block_order
de,/de/services/ar-link,service-msm-ar-link-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-ar-link-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,3,3,3,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/augmented-and-virtual-reality,service-msm-augmented-and-virtual-reality-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-augmented-and-virtual-reality-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,6,6,6,missing,True,,servicesHeroWithBadge > contentSection > casesGalleryFiltered > intertitleCTA
de,/de/services/cashback-services,service-msm-cashback-services-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-cashback-services-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,4,4,4,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/content-kreation,service-msm-content-kreation-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-content-kreation-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,3,3,3,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/couplar,service-msm-couplar-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-couplar-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,3,3,3,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/development,service-msm-development-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-development-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,4,4,4,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/digital-signage,service-msm-digital-signage-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-digital-signage-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,4,4,4,missing,True,,servicesHeroWithBadge > contentSection > casesGalleryFiltered > intertitleCTA
de,/de/services/experiential-marketing,service-msm-experiential-marketing-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-experiential-marketing-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,4,4,4,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/hashtaglove,service-msm-hashtaglove-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-hashtaglove-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",subset,2,2,7,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > contentSection > intertitleCTA
de,/de/services/influencer-marketing,service-msm-influencer-marketing-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-influencer-marketing-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,5,5,5,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/pos-marketing,service-msm-pos-marketing-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-pos-marketing-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,4,4,4,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/pr,service-msm-pr-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-pr-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,5,5,5,missing,True,,servicesHeroWithBadge > contentSection > casesGalleryFiltered > intertitleCTA
de,/de/services/review-plattform,service-msm-review-plattform-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-review-plattform-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,5,5,5,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
de,/de/services/social-media,service-msm-social-media-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,page-msm-service-social-media-de,e08bcd09-7ff4-4fb1-b24f-d52dd7d229d4,"siteContent[channel==""msmWeb""].serviceDescription","content[_type==""contentSection""].content",exact,4,4,4,missing,True,,servicesHeroWithBadge > contentSection > intertitleCTA > casesGalleryFiltered > intertitleCTA
