legacy_url,route,language,type,draft_id,ordered_content,reference_fields
https://www.msm.digital/project/ea-need-for-speed-influencer-campaign/,/cases/ea-need-for-speed-influencer-campaign,en,caseStudy,drafts.case-msm-ea-need-for-speed-influencer-campaign-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [6f9e09fa63350227],"{""services"": [{""_type"": ""reference"", ""_ref"": ""eb1ade77-fd4b-4a0f-9d1c-08687f770c75"", ""_key"": ""60871721626d5ee6""}, {""_type"": ""reference"", ""_ref"": ""f172b651-99a4-4471-94c6-1ac402a109eb"", ""_key"": ""0d35c3d7d8c6a2df""}, {""_type"": ""reference"", ""_ref"": ""c14eb875-b2d1-4e6e-9a92-60cdc249e30b"", ""_key"": ""fa1633963e41e197""}]}"
https://www.msm.digital/project/microsoft-retail-training-per-escape-room/,/cases/microsoft-retail-training-per-escape-room,en,caseStudy,drafts.case-msm-microsoft-retail-training-per-escape-room-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [dd638b91f8adb9c2],"{""services"": [{""_type"": ""reference"", ""_ref"": ""eb1ade77-fd4b-4a0f-9d1c-08687f770c75"", ""_key"": ""60871721626d5ee6""}, {""_type"": ""reference"", ""_ref"": ""service-msm-development-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""4dd7c2502efe8a3a""}, {""_type"": ""reference"", ""_ref"": ""service-msm-training-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""8a980e4ea34db9a4""}]}"
https://www.msm.digital/project/snakebyte-pebble-gear-social-media/,/cases/snakebyte-pebble-gear-social-media,en,caseStudy,drafts.case-msm-snakebyte-pebble-gear-social-media-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [5d3c6b2b0f1407cb],"{""services"": [{""_type"": ""reference"", ""_ref"": ""eb1ade77-fd4b-4a0f-9d1c-08687f770c75"", ""_key"": ""60871721626d5ee6""}, {""_type"": ""reference"", ""_ref"": ""service-msm-hashtaglove-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""e3d2758691d5d814""}, {""_type"": ""reference"", ""_ref"": ""f172b651-99a4-4471-94c6-1ac402a109eb"", ""_key"": ""0d35c3d7d8c6a2df""}, {""_type"": ""reference"", ""_ref"": ""c14eb875-b2d1-4e6e-9a92-60cdc249e30b"", ""_key"": ""fa1633963e41e197""}]}"
https://www.msm.digital/project/turtle-beach-digital-product-communications/,/cases/turtle-beach-digital-product-communications,en,caseStudy,drafts.case-msm-turtle-beach-digital-product-communications-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [f4d44e85b6ff0f84],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-digital-signage-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""131a9483d57f38ab""}, {""_type"": ""reference"", ""_ref"": ""service-msm-hashtaglove-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""e3d2758691d5d814""}, {""_type"": ""reference"", ""_ref"": ""f172b651-99a4-4471-94c6-1ac402a109eb"", ""_key"": ""0d35c3d7d8c6a2df""}, {""_type"": ""reference"", ""_ref"": ""ccb58dec-5ce3-4d6d-bdc5-549e42be254b"", ""_key"": ""b7165e9345deb7d2""}, {""_type"": ""reference"", ""_ref"": ""service-msm-pr-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""6aee070235f9df80""}, {""_type"": ""reference"", ""_ref"": ""c14eb875-b2d1-4e6e-9a92-60cdc249e30b"", ""_key"": ""fa1633963e41e197""}]}"
https://www.msm.digital/project/coop-queue-management/,/cases/coop-queue-management,en,caseStudy,drafts.case-msm-coop-queue-management-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [eca1b49047bd8530],"{""services"": [{""_type"": ""reference"", ""_ref"": ""ccb58dec-5ce3-4d6d-bdc5-549e42be254b"", ""_key"": ""b7165e9345deb7d2""}]}"
https://www.msm.digital/project/daikin-energy-bonus/,/cases/daikin-energy-bonus,en,caseStudy,drafts.case-msm-daikin-energy-bonus-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [50518a6aeab27ce8],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-cashback-solutions-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""e8df6475c2ac48de""}]}"
https://www.msm.digital/project/microsoft-trainings/,/cases/microsoft-trainings,en,caseStudy,drafts.case-msm-microsoft-trainings-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [215c8e2f39716c66],"{""services"": [{""_type"": ""reference"", ""_ref"": ""d118cc4d-59f7-44a2-9ebd-64fffd1f773f"", ""_key"": ""7fdde00c8e3c6ec7""}, {""_type"": ""reference"", ""_ref"": ""ccb58dec-5ce3-4d6d-bdc5-549e42be254b"", ""_key"": ""b7165e9345deb7d2""}, {""_type"": ""reference"", ""_ref"": ""service-msm-training-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""8a980e4ea34db9a4""}]}"
https://www.msm.digital/project/ar-showrooms/,/cases/ar-showrooms,en,caseStudy,drafts.case-msm-ar-showrooms-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [ed5dc7ec3d1f2b23],"{""services"": [{""_type"": ""reference"", ""_ref"": ""e0a5b3ac-34a8-4498-8db0-b81dddd0f7fa"", ""_key"": ""dd331c0a83a6d8fd""}, {""_type"": ""reference"", ""_ref"": ""eb1ade77-fd4b-4a0f-9d1c-08687f770c75"", ""_key"": ""60871721626d5ee6""}, {""_type"": ""reference"", ""_ref"": ""service-msm-development-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""4dd7c2502efe8a3a""}]}"
https://www.msm.digital/project/ubs-virtual-treasure-hunt/,/cases/ubs-virtual-treasure-hunt,en,caseStudy,drafts.case-msm-ubs-virtual-treasure-hunt-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [7181f9c3272fc57f],"{""services"": [{""_type"": ""reference"", ""_ref"": ""e0a5b3ac-34a8-4498-8db0-b81dddd0f7fa"", ""_key"": ""dd331c0a83a6d8fd""}, {""_type"": ""reference"", ""_ref"": ""eb1ade77-fd4b-4a0f-9d1c-08687f770c75"", ""_key"": ""60871721626d5ee6""}, {""_type"": ""reference"", ""_ref"": ""service-msm-development-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""4dd7c2502efe8a3a""}]}"
https://www.msm.digital/project/schleich-digital-instore-activation/,/cases/schleich-digital-instore-activation,en,caseStudy,drafts.case-msm-schleich-digital-instore-activation-en,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [69c6efc00c0b285d],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-development-en"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""4dd7c2502efe8a3a""}, {""_type"": ""reference"", ""_ref"": ""ccb58dec-5ce3-4d6d-bdc5-549e42be254b"", ""_key"": ""b7165e9345deb7d2""}]}"
