row,url,status,destination,note
2,https://www.msm.digital/,mapped,msm-page-home-en.metadata.title,
3,https://www.msm.digital/,mapped,msm-page-home-en.metadata.description,
4,https://www.msm.digital/,mapped,msm-page-home-en.content.hero.eyebrow,
5,https://www.msm.digital/,mapped,msm-page-home-en.content.hero.headline,
6,https://www.msm.digital/,mapped,msm-page-home-en.content.hero.paragraphs,
7,https://www.msm.digital/,mapped,msm-page-home-en.content.hero.cta.text,
8,https://www.msm.digital/,mapped,msm-page-home-en.content.hashtaglove.title,
9,https://www.msm.digital/,mapped,msm-page-home-en.content,
10,https://www.msm.digital/,mapped,msm-page-home-en.content.hashtaglove.cta,
11,https://www.msm.digital/,mapped,msm-page-home-en.content.godigital.title,
12,https://www.msm.digital/,mapped,msm-page-home-en.content,
13,https://www.msm.digital/,mapped,msm-page-home-en.content.godigital.cta,
14,https://www.msm.digital/,mapped,msm-page-home-en.content.proof.subtitle,
15,https://www.msm.digital/,mapped,msm-page-home-en.content.proof.title,
16,https://www.msm.digital/,mapped,msm-page-home-en.content.units.items,
17,https://www.msm.digital/,preserved,msm-page-home-en.content.galleryPeopleStep,Seven named staff quotations resolve through the MSM person editions.
18,https://www.msm.digital/,resolved-reference,msm-page-home-en.content.proof-cases,"Exact original campaign URLs, not the spreadsheet layout recommendation."
19,https://www.msm.digital/,mapped,msm-page-home-en.content.founders.title,
20,https://www.msm.digital/,mapped,msm-page-home-en.content,
21,https://www.msm.digital/,mapped,msm-page-home-en.content,
22,https://www.msm.digital/,mapped,msm-page-home-en.content.founders.cta,
23,https://www.msm.digital/business-units/,mapped,msm-page-units-en.metadata.title,
24,https://www.msm.digital/business-units/,mapped,msm-page-units-en.metadata.description,
25,https://www.msm.digital/business-units/,mapped,msm-page-units-en.content[units].eyebrow,
26,https://www.msm.digital/business-units/,mapped,msm-page-units-en.content[units].headline,
27,https://www.msm.digital/business-units/,mapped,msm-page-units-en.content[units].intro,
28,https://www.msm.digital/business-units/,mapped,msm-page-units-en.content[units].items,
29,https://www.msm.digital/business-units/,mapped,msm-page-units-en.content[units].items,
30,https://www.msm.digital/business-units/,mapped,msm-page-units-en.content[units].items,
31,https://www.msm.digital/business-units/,mapped,msm-page-units-en.content[units].items,
32,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.metadata.title,
33,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.metadata.description,
34,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.descriptor,
35,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.name,
36,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.claim,
37,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.body,
38,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.body,
39,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.content[contact].subtitle,
40,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.leadershipHeading,
41,https://www.msm.digital/business-units/communications/,resolved-reference,msm-unit-communications-en.relationships,Recovered exact campaign and person URLs from the source page.
42,https://www.msm.digital/business-units/communications/,mapped,msm-unit-communications-en.casesHeading,
43,https://www.msm.digital/business-units/communications/,resolved-reference,msm-unit-communications-en.relationships,Recovered exact campaign and person URLs from the source page.
44,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.metadata.title,
45,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.metadata.description,
46,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.descriptor,
47,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.name,
48,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.claim,
49,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.body,
50,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.body,
51,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.body,
52,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.body,
53,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.leadershipHeading,
54,https://www.msm.digital/business-units/channel-marketing/,resolved-reference,msm-unit-channel-marketing-en.relationships,Recovered exact campaign and person URLs from the source page.
55,https://www.msm.digital/business-units/channel-marketing/,mapped,msm-unit-channel-marketing-en.casesHeading,
56,https://www.msm.digital/business-units/channel-marketing/,resolved-reference,msm-unit-channel-marketing-en.relationships,Recovered exact campaign and person URLs from the source page.
57,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.metadata.title,
58,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.metadata.description,
59,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.descriptor,
60,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.name,
61,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.claim,
62,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.body,
63,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.body,
64,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.leadershipHeading,
65,https://www.msm.digital/business-units/ar-vr-labs/,resolved-reference,msm-unit-xr-labs-en.relationships,Recovered exact campaign and person URLs from the source page.
66,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.content,
67,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.content,
68,https://www.msm.digital/business-units/ar-vr-labs/,mapped,msm-unit-xr-labs-en.casesHeading,
69,https://www.msm.digital/business-units/ar-vr-labs/,resolved-reference,msm-unit-xr-labs-en.relationships,Recovered exact campaign and person URLs from the source page.
70,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.metadata.title,
71,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.metadata.description,
72,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.descriptor,
73,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.name,
74,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.claim,
75,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.body,
76,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.body,
77,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.leadershipHeading,
78,https://www.msm.digital/business-units/technology-systems/,resolved-reference,msm-unit-technology-systems-en.relationships,Recovered exact campaign and person URLs from the source page.
79,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.content,
80,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.content,
81,https://www.msm.digital/business-units/technology-systems/,mapped,msm-unit-technology-systems-en.casesHeading,
82,https://www.msm.digital/business-units/technology-systems/,resolved-reference,msm-unit-technology-systems-en.relationships,Recovered exact campaign and person URLs from the source page.
83,https://www.msm.digital/contact/,mapped,msm-page-contact-en.metadata.title,
84,https://www.msm.digital/contact/,mapped,msm-page-contact-en.metadata.description,
85,https://www.msm.digital/contact/,mapped,msm-page-contact-en.contactForm.headline,
86,https://www.msm.digital/contact/,mapped,msm-page-contact-en.contactForm.subheadline,
87,https://www.msm.digital/contact/,preserved,msm-page-contact-en.content.contact-links,Source contact URLs retained as functional links.
88,https://www.msm.digital/contact/,mapped,msm-page-contact-en.content.social-links.title,
89,https://www.msm.digital/contact/,mapped,msm-page-contact-en.content[social-links].content,
90,https://www.msm.digital/disclaimer/,mapped,page-msm-disclaimer-en.metadata.title,
91,https://www.msm.digital/disclaimer/,preserved,page-msm-disclaimer-en.metadata.description,
92,https://www.msm.digital/disclaimer/,mapped,page-msm-disclaimer-en.content.hero.title,
93,https://www.msm.digital/disclaimer/,preserved,page-msm-disclaimer-en.content.legal,Complete original legal body recovered; workbook legal-review notes remain review items.
94,https://www.msm.digital/disclaimer/,preserved,page-msm-disclaimer-en.content.legal,Complete original legal body recovered; workbook legal-review notes remain review items.
95,https://www.msm.digital/disclaimer/,preserved,page-msm-disclaimer-en.content.legal,Complete original legal body recovered; workbook legal-review notes remain review items.
